Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.778,309.778,screen bright,222.083565536
0,6.572,6.572,wifi running,0.013617184000000001
6.572,7.16,0.5880000000000001,wifi scan,0.10721356800000001
7.16,291.707,284.54699999999997,wifi radio,347.85301655999996
291.707,293.116,1.4089999999999918,wifi running,0.002919447999999983
293.116,309.778,16.662000000000035,wifi radio,20.368961760000044
306.261,309.778,3.516999999999996,gps,0.5392545759999994
0.993,309.778,308.785,audio,51.18420160000001
0.993,302.101,301.108,audio,49.911662080000006
307.97,309.778,1.8079999999999927,audio,0.2996940799999988

