Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.651,309.651,screen bright,221.992517712
0,36.923,36.923,wifi running,0.07650445600000001
36.923,38.417,1.4939999999999998,wifi scan,0.27240998399999994
38.417,177.793,139.376,wifi radio,170.38437248
177.793,183.452,5.658999999999992,wifi running,0.011725447999999984
183.452,309.651,126.19900000000001,wifi radio,154.27575352000002
306.168,309.651,3.483000000000004,gps,0.5340414240000007
1.033,309.651,308.618,audio,51.15651968
1.033,301.997,300.964,audio,49.88779264000001
307.838,309.651,1.8129999999999882,audio,0.30052287999999805

