Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.759,309.759,screen bright,222.069944208
0,24.777,24.777,wifi running,0.051337944
24.777,26.535,1.7579999999999991,wifi scan,0.32054668799999986
26.535,170.097,143.562,wifi radio,175.50167376000002
170.097,183.609,13.512,wifi running,0.027996864000000003
183.609,309.759,126.15,wifi radio,154.215852
306.27,309.759,3.4890000000000327,gps,0.534961392000005
1.045,309.759,308.714,audio,51.172432640000004
1.045,302.112,301.067,audio,49.904865920000006
307.967,309.759,1.79200000000003,audio,0.297041920000005

