Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.806,309.806,screen bright,222.103639072
0,51.653,51.653,wifi running,0.107025016
51.653,53.153,1.5,wifi scan,0.27350399999999997
53.153,177.302,124.149,wifi radio,151.76966952
177.302,184.553,7.251000000000005,wifi running,0.01502407200000001
184.553,309.806,125.25299999999999,wifi radio,153.11928744
306.314,309.806,3.491999999999962,gps,0.5354213759999941
0.995,309.806,308.811,audio,51.18851136
0.995,302.122,301.127,audio,49.91481152000001
308.011,309.806,1.794999999999959,audio,0.29753919999999323

