Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.724,309.724,screen bright,231.15383512799997
0,8.908,8.908,wifi running,0.019214556
8.908,10.575,1.6669999999999998,wifi scan,0.3164232719999999
10.575,170.298,159.723,wifi radio,203.26828149
170.298,184.047,13.748999999999995,wifi running,0.02965659299999999
184.047,289.276,105.22900000000001,wifi radio,133.91758227
289.276,292.89300000000003,3.6170000000000186,wifi running,0.00780186900000004
292.89300000000003,307.901,15.007999999999981,wifi running,0.03237225599999996
307.901,309.724,1.822999999999979,wifi scan,0.346034567999996
306.173,309.724,3.5509999999999877,gps,0.566803517999998
0.99,309.724,308.734,audio,53.27513904
0.99,302.07,301.08,audio,51.9543648
307.901,309.724,1.822999999999979,audio,0.31457687999999645

