Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.774,309.774,screen bright,231.19115122799997
0,38.444,38.444,wifi running,0.08292370800000001
38.444,40.367,1.9229999999999947,wifi scan,0.365016167999999
40.367,178.087,137.72,wifi radio,175.2666036
178.087,183.053,4.966000000000008,wifi running,0.010711662000000018
183.053,309.774,126.721,wifi radio,161.26894622999998
306.264,309.774,3.509999999999991,gps,0.5602591799999985
1.063,309.774,308.711,audio,53.27117016000001
1.063,302.137,301.074,audio,51.953329440000005
307.98,309.774,1.7939999999999827,audio,0.30957263999999707

