Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.717,309.717,screen bright,231.14861087399996
0,4.66,4.66,wifi running,0.01005162
4.66,6.801,2.141,wifi scan,0.40639605599999995
6.801,176.65800000000002,169.85700000000003,wifi radio,216.16511391000003
176.65800000000002,185.533,8.874999999999972,wifi running,0.019143374999999938
185.533,289.972,104.439,wifi radio,132.91220456999997
289.972,292.728,2.7560000000000286,wifi running,0.005944692000000062
292.728,309.717,16.988999999999976,wifi radio,21.620711069999967
306.195,309.717,3.5219999999999914,gps,0.5621745959999985
1.052,309.717,308.66499999999996,audio,53.2632324
1.052,302.023,300.971,audio,51.93555576000001
308.033,309.717,1.683999999999969,audio,0.2905910399999947

