Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.803,309.803,screen bright,231.21279456599999
0,36.567,36.567,wifi running,0.078875019
36.567,37.308,0.7409999999999997,wifi scan,0.14065365599999993
37.308,170.688,133.38,wifi radio,169.74338939999998
170.688,183.556,12.868000000000023,wifi running,0.027756276000000052
183.556,289.146,105.59,wifi radio,134.3770017
289.146,290.932,1.7860000000000014,wifi running,0.003852402000000003
290.932,309.803,18.87099999999998,wifi radio,24.015800729999974
306.315,309.803,3.4879999999999995,gps,0.5567475839999999
1.062,309.803,308.741,audio,53.276346960000005
1.062,302.254,301.192,audio,51.97369152000001
307.988,309.803,1.8149999999999977,audio,0.31319639999999965

