Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.888,309.888,screen bright,231.27623193599996
0,26.077,26.077,wifi running,0.05624808900000001
26.077,27.486,1.408999999999999,wifi scan,0.2674507439999998
27.486,178.86,151.37400000000002,wifi radio,192.64309362000003
178.86,185.499,6.638999999999982,wifi running,0.014320322999999961
185.499,289.773,104.27400000000003,wifi radio,132.70222062000002
289.773,292.454,2.680999999999983,wifi running,0.005782916999999964
292.454,309.888,17.43399999999997,wifi radio,22.187031419999958
306.397,309.888,3.4909999999999854,gps,0.5572264379999976
1.095,309.888,308.79299999999995,audio,53.28532008
1.095,302.299,301.20399999999995,audio,51.975762239999995
308.085,309.888,1.8029999999999973,audio,0.31112567999999957

