Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.651,309.651,screen bright,231.260062491
0,31.16,31.16,wifi running,0.06725886
31.16,32.724,1.5639999999999965,wifi scan,0.2970786719999993
32.724,177.595,144.871,wifi radio,184.495391565
177.595,183.52,5.925000000000011,wifi running,0.012789112500000026
183.52,272.829,89.309,wifi radio,113.73635113499999
272.829,273.601,0.7719999999999914,wifi running,0.0016663619999999816
273.601,309.651,36.05000000000001,wifi radio,45.91021575000001
306.142,309.651,3.5090000000000146,gps,0.5604890610000024
1.012,309.651,308.639,audio,53.29578252
1.012,302.029,301.017,audio,51.97961556
307.85,309.651,1.8009999999999877,audio,0.31099667999999786

