Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.627,309.627,screen bright,231.242138307
0,32.04,32.04,wifi running,0.06915834000000001
32.04,34.143,2.1030000000000015,wifi scan,0.3994606440000003
34.143,177.346,143.203,wifi radio,182.371168545
177.346,184.531,7.185000000000002,wifi running,0.015508822500000007
184.531,272.616,88.08499999999998,wifi radio,112.17756877499997
272.616,273.464,0.8480000000000132,wifi running,0.0018304080000000288
273.464,309.627,36.16300000000001,wifi radio,46.05412294500001
306.134,309.627,3.492999999999995,gps,0.5579333969999992
1.05,309.627,308.577,audio,53.28507636
1.05,301.989,300.93899999999996,audio,51.966146519999995
307.822,309.627,1.8050000000000068,audio,0.31168740000000117

