Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.797,309.797,screen bright,231.369101277
0,0.953,0.953,wifi scan,0.181020444
0.953,47.415,46.461999999999996,wifi running,0.10028822700000001
47.415,49.443,2.0279999999999987,wifi scan,0.38521454399999977
49.443,177.774,128.33100000000002,wifi radio,163.431453465
177.774,183.576,5.8019999999999925,wifi running,0.012523616999999985
183.576,272.83299999999997,89.25699999999998,wifi radio,113.67012835499996
272.83299999999997,273.903,1.07000000000005,wifi running,0.002309595000000108
273.903,309.797,35.894000000000005,wifi radio,45.71154741000001
306.276,309.797,3.521000000000015,gps,0.5624058090000025
1.035,309.797,308.762,audio,53.31702216
1.035,302.133,301.09799999999996,audio,51.99360263999999
308.074,309.797,1.7230000000000132,audio,0.29752764000000226

