Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.766,309.766,screen bright,231.345949206
0,15.264,15.264,wifi running,0.032947344
15.264,17.199,1.9350000000000023,wifi scan,0.3675493800000004
17.199,177.85,160.65099999999998,wifi radio,204.59145826499997
177.85,183.51,5.659999999999997,wifi running,0.012217109999999995
183.51,272.828,89.31799999999998,wifi radio,113.74781276999998
272.828,273.935,1.1070000000000277,wifi running,0.00238945950000006
273.935,309.766,35.83100000000002,wifi radio,45.63131596500002
306.351,309.766,3.4150000000000205,gps,0.5454745350000033
1.058,309.766,308.708,audio,53.307697440000005
1.058,302.136,301.07800000000003,audio,51.990149040000006
307.948,309.766,1.8180000000000405,audio,0.31393224000000697

