Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.901,309.901,screen bright,231.446772741
0,54.685,54.685,wifi running,0.11803757250000002
54.685,56.194,1.5090000000000003,wifi scan,0.2866315320000001
56.194,170.279,114.085,wifi radio,145.288958775
170.279,183.547,13.268,wifi running,0.028638978000000006
183.547,272.745,89.19800000000001,wifi radio,113.59499097000001
272.745,273.204,0.4590000000000032,wifi running,0.000990751500000007
273.204,288.424,15.21999999999997,wifi radio,19.38289829999996
288.424,290.555,2.1310000000000286,wifi running,0.004599763500000063
290.555,309.901,19.346000000000004,wifi radio,24.637421190000005
306.388,309.901,3.5130000000000337,gps,0.5611279770000054
1.048,309.901,308.853,audio,53.33273604
1.048,302.265,301.217,audio,52.014151559999995
308.10699999999997,309.901,1.7940000000000396,audio,0.3097879200000068

