Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.835,309.835,screen bright,231.397481235
0,19.351,19.351,wifi running,0.0417691335
19.351,21.932,2.5809999999999995,wifi scan,0.4902557879999999
21.932,309.835,287.90299999999996,wifi running,0.6214386255
306.329,309.835,3.505999999999972,gps,0.5600098739999956
1.084,309.835,308.751,audio,53.315122679999995
1.084,302.158,301.074,audio,51.989458320000004
308.046,309.835,1.7889999999999873,audio,0.3089245199999978

