Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.75,309.75,screen bright,231.33399975
0,177.902,177.902,wifi radio,226.56086552999997
177.902,185.524,7.622000000000014,wifi running,0.016452087000000032
185.524,272.812,87.28800000000001,wifi radio,111.16257732000001
272.812,273.884,1.0720000000000027,wifi running,0.002313912000000006
273.884,307.942,34.05799999999999,wifi running,0.07351419299999999
307.942,309.75,1.8079999999999927,wifi scan,0.34342598399999863
306.264,309.75,3.48599999999999,gps,0.5568152939999984
1.058,309.75,308.692,audio,53.30493456
1.058,302.058,301.0,audio,51.97668
307.942,309.75,1.8079999999999927,audio,0.3122054399999987

