Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.673,309.673,screen bright,231.276492993
0,10.568,10.568,wifi running,0.022811028
10.568,11.474,0.9060000000000006,wifi scan,0.1720928880000001
11.474,177.999,166.525,wifi radio,212.072085375
177.999,184.561,6.562000000000012,wifi running,0.014164077000000027
184.561,272.103,87.542,wifi radio,111.48605013
272.103,273.148,1.045000000000016,wifi running,0.0022556325000000345
273.148,288.527,15.378999999999962,wifi radio,19.585387184999952
288.527,288.56,0.03300000000001546,wifi running,7.123050000003338e-05
288.56,309.673,21.113,wifi radio,26.887722195
306.177,309.673,3.495999999999981,gps,0.5584125839999969
1.021,309.673,308.652,audio,53.29802736
1.021,302.167,301.14599999999996,audio,52.001891279999995
307.877,309.673,1.7959999999999923,audio,0.3101332799999987

