Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.775,309.775,screen bright,231.29907969999994
0,13.071,13.071,wifi running,0.028207217999999996
13.071,15.108,2.037000000000001,wifi scan,0.3868344480000001
15.108,309.775,294.667,wifi running,0.6358913859999998
306.272,309.775,3.502999999999986,gps,0.5594010759999977
1.328,309.775,308.447,audio,53.25029008
1.328,302.047,300.71900000000005,audio,51.91612816000001
307.956,309.775,1.81899999999996,audio,0.31403215999999307

