Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.776,309.776,screen bright,231.29982636799997
0,4.068,4.068,wifi running,0.008778743999999998
4.068,6.255,2.1870000000000003,wifi scan,0.41532004800000005
6.255,14.08,7.825,wifi running,0.016886349999999998
14.08,16.115,2.0349999999999984,wifi scan,0.3864546399999997
16.115,24.231,8.116000000000003,wifi running,0.017514328000000006
24.231,26.426,2.1949999999999967,wifi scan,0.41683927999999937
26.426,34.28,7.854000000000003,wifi running,0.016948932000000003
34.28,36.454,2.1739999999999995,wifi scan,0.41285129599999987
36.454,44.311,7.856999999999999,wifi running,0.016955405999999996
44.311,46.5,2.189,wifi scan,0.415699856
46.5,54.341,7.841000000000001,wifi running,0.016920878
54.341,56.406,2.0649999999999977,wifi scan,0.39215175999999957
56.406,64.366,7.960000000000001,wifi running,0.01717768
64.366,66.605,2.2390000000000043,wifi scan,0.4251950560000008
66.605,74.397,7.792000000000002,wifi running,0.016815136
74.397,76.59700000000001,2.200000000000003,wifi scan,0.4177888000000005
76.59700000000001,84.441,7.843999999999994,wifi running,0.016927351999999986
84.441,86.621,2.1799999999999926,wifi scan,0.4139907199999986
86.621,94.476,7.855000000000004,wifi running,0.016951090000000005
94.476,96.664,2.1880000000000024,wifi scan,0.4155099520000004
96.664,104.50999999999999,7.845999999999989,wifi running,0.016931667999999976
104.50999999999999,106.691,2.1810000000000116,wifi scan,0.41418062400000216
106.691,114.551,7.859999999999999,wifi running,0.01696188
114.551,116.745,2.1940000000000026,wifi scan,0.41664937600000046
116.745,124.574,7.8289999999999935,wifi running,0.016894981999999985
124.574,126.783,2.209000000000003,wifi scan,0.41949793600000057
126.783,134.598,7.815000000000012,wifi running,0.016864770000000025
134.598,136.696,2.0979999999999848,wifi scan,0.3984185919999971
136.696,144.632,7.936000000000007,wifi running,0.017125888000000013
144.632,146.75,2.117999999999995,wifi scan,0.40221667199999905
146.75,154.641,7.890999999999991,wifi running,0.01702877799999998
154.641,156.781,2.140000000000015,wifi scan,0.4063945600000028
156.781,164.665,7.883999999999986,wifi running,0.01701367199999997
164.665,166.82999999999998,2.164999999999992,wifi scan,0.4111421599999985
166.82999999999998,174.7,7.8700000000000045,wifi running,0.01698346000000001
174.7,176.75,2.0500000000000114,wifi scan,0.3893032000000021
176.75,184.75,8.0,wifi running,0.017263999999999998
184.75,186.877,2.1270000000000095,wifi scan,0.4039258080000018
186.877,194.79,7.9129999999999825,wifi running,0.01707625399999996
194.79,196.724,1.9339999999999975,wifi scan,0.3672743359999995
196.724,204.828,8.104000000000013,wifi running,0.017488432000000026
204.828,206.67000000000002,1.842000000000013,wifi scan,0.34980316800000244
206.67000000000002,214.881,8.210999999999984,wifi running,0.017719337999999963
214.881,216.883,2.0020000000000095,wifi scan,0.3801878080000018
216.883,224.917,8.033999999999992,wifi running,0.01733737199999998
224.917,226.82999999999998,1.9129999999999825,wifi scan,0.36328635199999665
226.82999999999998,234.963,8.13300000000001,wifi running,0.017551014000000018
234.963,236.963,2.0,wifi scan,0.379808
236.963,245.006,8.043000000000006,wifi running,0.017356794000000012
245.006,247.004,1.9979999999999905,wifi scan,0.37942819199999817
247.004,255.039,8.034999999999997,wifi running,0.017339529999999992
255.039,257.048,2.0090000000000146,wifi scan,0.38151713600000275
257.048,265.059,8.011000000000024,wifi running,0.01728773800000005
265.059,267.076,2.016999999999996,wifi scan,0.3830363679999992
267.076,275.10699999999997,8.030999999999949,wifi running,0.01733089799999989
275.10699999999997,277.098,1.9910000000000423,wifi scan,0.37809886400000803
277.098,285.153,8.055000000000007,wifi running,0.017382690000000013
285.153,287.073,1.919999999999959,wifi scan,0.3646156799999922
287.073,295.181,8.108000000000004,wifi running,0.017497064000000007
295.181,297.106,1.9250000000000114,wifi scan,0.36556520000000214
297.106,305.222,8.115999999999985,wifi running,0.017514327999999968
305.222,306.348,1.1260000000000332,wifi scan,0.2138319040000063
306.348,309.776,3.4279999999999973,wifi running,0.007397623999999993
306.252,309.776,3.524000000000001,gps,0.5627546080000001
306.252,306.348,0.09600000000000364,gps,0.01533043200000058
308.671,309.776,1.1050000000000182,gps,0.17645966000000288

