Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.829,309.829,screen bright,231.33939977199998
0,40.181,40.181,wifi running,0.08671059799999999
40.181,42.199,2.0180000000000007,wifi scan,0.3832262720000001
42.199,309.829,267.63,wifi running,0.5775455399999999
306.338,309.829,3.4909999999999854,gps,0.5574847719999976
1.294,309.829,308.535,audio,53.2654824
1.294,302.25,300.956,audio,51.95704384
307.984,309.829,1.8450000000000273,audio,0.3185208000000047

