Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.836,309.836,screen bright,231.34462644799999
0,4.087,4.087,wifi running,0.008819745999999998
4.087,6.265,2.178,wifi scan,0.41361091199999994
6.265,14.112,7.847,wifi running,0.016933826
14.112,16.303,2.1910000000000007,wifi scan,0.4160796640000001
16.303,24.135,7.832000000000001,wifi running,0.016901456
24.135,26.442,2.3069999999999986,wifi scan,0.4381085279999997
26.442,34.185,7.743000000000002,wifi running,0.016709394000000002
34.185,36.371,2.186,wifi scan,0.415130144
36.371,44.251,7.8799999999999955,wifi running,0.01700503999999999
44.251,46.608,2.3569999999999993,wifi scan,0.44760372799999987
46.608,54.296,7.688000000000002,wifi running,0.016590704000000005
54.296,56.45,2.1540000000000035,wifi scan,0.40905321600000066
56.45,64.354,7.903999999999996,wifi running,0.01705683199999999
64.354,66.586,2.2319999999999993,wifi scan,0.42386572799999983
66.586,74.397,7.811000000000007,wifi running,0.016856138000000014
74.397,76.605,2.2079999999999984,wifi scan,0.41930803199999966
76.605,84.44200000000001,7.837000000000003,wifi running,0.016912246000000006
84.44200000000001,86.743,2.3009999999999877,wifi scan,0.43696910399999767
86.743,94.48599999999999,7.742999999999995,wifi running,0.01670939399999999
94.48599999999999,96.681,2.1950000000000074,wifi scan,0.41683928000000137
96.681,104.52600000000001,7.845000000000013,wifi running,0.016929510000000026
104.52600000000001,106.63300000000001,2.1069999999999993,wifi scan,0.40012772799999985
106.63300000000001,114.577,7.943999999999988,wifi running,0.017143151999999974
114.577,116.648,2.070999999999998,wifi scan,0.39329118399999957
116.648,124.603,7.954999999999998,wifi running,0.017166889999999994
124.603,126.902,2.2990000000000066,wifi scan,0.43658929600000124
126.902,134.61599999999999,7.713999999999984,wifi running,0.016646811999999966
134.61599999999999,136.747,2.1310000000000286,wifi scan,0.4046854240000054
136.747,144.645,7.897999999999996,wifi running,0.01704388399999999
144.645,146.747,2.102000000000004,wifi scan,0.3991782080000007
146.747,154.662,7.914999999999992,wifi running,0.017080569999999982
154.662,156.89,2.22799999999998,wifi scan,0.4231061119999962
156.89,164.679,7.789000000000016,wifi running,0.016808662000000033
164.679,166.77,2.091000000000008,wifi scan,0.39708926400000155
166.77,174.704,7.9339999999999975,wifi running,0.01712157199999999
174.704,176.765,2.0609999999999786,wifi scan,0.39139214399999595
176.765,184.767,8.00200000000001,wifi running,0.01726831600000002
184.767,186.912,2.1450000000000102,wifi scan,0.40734408000000194
186.912,194.779,7.86699999999999,wifi running,0.01697698599999998
194.779,196.737,1.9579999999999984,wifi scan,0.3718320319999997
196.737,204.833,8.096000000000004,wifi running,0.017471168000000006
204.833,206.754,1.9209999999999923,wifi scan,0.3648055839999985
206.754,214.864,8.110000000000014,wifi running,0.017501380000000028
214.864,216.957,2.0929999999999893,wifi scan,0.3974690719999979
216.957,224.90800000000002,7.951000000000022,wifi running,0.017158258000000044
224.90800000000002,227.061,2.1529999999999916,wifi scan,0.40886331199999837
227.061,234.948,7.8870000000000005,wifi running,0.017020146
234.948,237.012,2.063999999999993,wifi scan,0.39196185599999867
237.012,244.989,7.977000000000004,wifi running,0.017214366000000005
244.989,246.925,1.936000000000007,wifi scan,0.3676541440000013
246.925,255.035,8.109999999999985,wifi running,0.017501379999999966
255.035,257.072,2.037000000000006,wifi scan,0.38683444800000116
257.072,265.081,8.009000000000015,wifi running,0.01728342200000003
265.081,267.088,2.007000000000005,wifi scan,0.38113732800000094
267.088,275.118,8.029999999999973,wifi running,0.01732873999999994
275.118,277.105,1.9870000000000232,wifi scan,0.3773392480000044
277.105,285.154,8.048999999999978,wifi running,0.017369741999999952
285.154,287.158,2.004000000000019,wifi scan,0.3805676160000036
287.158,295.189,8.031000000000006,wifi running,0.01733089800000001
295.189,297.189,2.0,wifi scan,0.379808
297.189,305.231,8.041999999999973,wifi running,0.01735463599999994
305.231,306.325,1.093999999999994,wifi scan,0.20775497599999887
306.325,309.836,3.511000000000024,wifi running,0.007576738000000052
306.246,309.836,3.590000000000032,gps,0.573294280000005
306.246,306.325,0.07900000000000773,gps,0.012615668000001232
308.733,309.836,1.1030000000000086,gps,0.17614027600000134

