Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.737,309.737,screen bright,231.27070631599997
0,20.996,20.996,wifi running,0.04530936799999999
20.996,23.605,2.6090000000000018,wifi scan,0.4954595360000003
23.605,309.737,286.132,wifi running,0.6174728559999999
306.275,309.737,3.462000000000046,gps,0.5528537040000072
1.248,309.737,308.48900000000003,audio,53.25754096
1.248,302.071,300.82300000000004,audio,51.93408272
307.98,309.737,1.757000000000005,audio,0.30332848000000084

