Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.935,309.935,screen bright,229.00570260499998
0,15.935,15.935,wifi running,0.0340291925
15.935,17.956,2.020999999999999,wifi scan,0.37979440399999975
17.956,308.075,290.11899999999997,wifi running,0.6195491244999999
308.075,309.935,1.8600000000000136,wifi scan,0.3495386400000025
306.41,309.935,3.5249999999999773,gps,0.5570451749999964
1.662,309.935,308.273,audio,52.66535932
1.662,302.296,300.634,audio,51.36031256
308.075,309.935,1.8600000000000136,audio,0.31776240000000233

