Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.772,309.772,screen bright,228.885264676
0,12.507,12.507,wifi running,0.026708698499999996
12.507,13.963,1.4559999999999995,wifi scan,0.2736173439999999
13.963,309.772,295.80899999999997,wifi running,0.6317001194999998
306.285,309.772,3.4869999999999663,gps,0.5510401489999947
1.005,309.772,308.767,audio,52.74975428
1.005,302.108,301.103,audio,51.44043652
307.958,309.772,1.8139999999999645,audio,0.3099037599999939

