Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.891,309.891,screen bright,228.973191753
0,41.556,41.556,wifi running,0.08874283799999999
41.556,42.98,1.4239999999999995,wifi scan,0.26760377599999985
42.98,177.258,134.27800000000002,wifi radio,169.18289471
177.258,180.216,2.9579999999999984,wifi running,0.006316808999999996
180.216,309.891,129.675,wifi radio,163.383367875
306.242,309.891,3.649000000000001,gps,0.5766405230000001
1.052,309.891,308.839,audio,52.76205476
1.052,302.126,301.07399999999996,audio,51.43548215999999
307.982,309.891,1.9089999999999918,audio,0.3261335599999986

