Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.692,309.692,screen bright,231.23710625599998
0,3.524,3.524,wifi running,0.007604791999999999
3.524,6.321,2.7969999999999997,wifi scan,0.531161488
6.321,13.542,7.221,wifi running,0.015582917999999998
13.542,15.414,1.8719999999999999,wifi scan,0.35550028799999994
15.414,23.56,8.145999999999999,wifi running,0.017579067999999996
23.56,26.394,2.8339999999999996,wifi scan,0.5381879359999999
26.394,33.579,7.185000000000002,wifi running,0.015505230000000004
33.579,36.542,2.963000000000001,wifi scan,0.5626855520000001
36.542,44.232,7.689999999999998,wifi running,0.01659501999999999
44.232,46.538,2.3059999999999974,wifi scan,0.4379186239999995
46.538,53.614,7.0760000000000005,wifi running,0.015270008
53.614,56.4,2.7860000000000014,wifi scan,0.5290725440000003
56.4,63.641,7.241,wifi running,0.015626077999999998
63.641,66.53,2.889000000000003,wifi scan,0.5486326560000006
66.53,73.658,7.128,wifi running,0.015382223999999998
73.658,76.678,3.019999999999996,wifi scan,0.5735100799999993
76.678,83.67699999999999,6.998999999999995,wifi running,0.015103841999999989
83.67699999999999,86.60300000000001,2.926000000000016,wifi scan,0.5556591040000031
86.60300000000001,93.705,7.10199999999999,wifi running,0.015326115999999976
93.705,96.613,2.9080000000000013,wifi scan,0.5522408320000002
96.613,103.731,7.117999999999995,wifi running,0.015360643999999988
103.731,106.648,2.9170000000000016,wifi scan,0.5539499680000003
106.648,113.74799999999999,7.099999999999994,wifi running,0.015321799999999986
113.74799999999999,116.669,2.9210000000000065,wifi scan,0.5547095840000013
116.669,123.774,7.105000000000004,wifi running,0.015332590000000007
123.774,126.748,2.9740000000000038,wifi scan,0.5647744960000007
126.748,133.801,7.052999999999983,wifi running,0.015220373999999962
133.801,136.764,2.9630000000000223,wifi scan,0.5626855520000043
136.764,143.82999999999998,7.065999999999974,wifi running,0.015248427999999942
143.82999999999998,146.793,2.9630000000000223,wifi scan,0.5626855520000043
146.793,153.858,7.064999999999998,wifi running,0.015246269999999994
153.858,156.746,2.8880000000000052,wifi scan,0.5484427520000009
156.746,163.886,7.139999999999986,wifi running,0.01540811999999997
163.886,166.78,2.8940000000000055,wifi scan,0.549582176000001
166.78,173.916,7.135999999999996,wifi running,0.015399487999999989
173.916,176.82,2.9039999999999964,wifi scan,0.5514812159999993
176.82,183.948,7.128000000000014,wifi running,0.01538222400000003
183.948,186.86,2.912000000000006,wifi scan,0.5530004480000011
186.86,193.978,7.117999999999995,wifi running,0.015360643999999988
193.978,196.802,2.823999999999984,wifi scan,0.5362888959999969
196.802,204.011,7.209000000000003,wifi running,0.015557022000000005
204.011,206.835,2.8240000000000123,wifi scan,0.5362888960000023
206.835,214.042,7.206999999999994,wifi running,0.015552705999999984
214.042,216.857,2.8149999999999977,wifi scan,0.5345797599999995
216.857,224.072,7.215000000000003,wifi running,0.015569970000000006
224.072,226.79,2.7179999999999893,wifi scan,0.5161590719999979
226.79,234.096,7.306000000000012,wifi running,0.015766348000000024
234.096,236.81900000000002,2.723000000000013,wifi scan,0.5171085920000025
236.81900000000002,244.124,7.304999999999978,wifi running,0.015764189999999952
244.124,246.98,2.8559999999999945,wifi scan,0.5423658239999989
246.98,254.15,7.170000000000016,wifi running,0.015472860000000033
254.15,257.10699999999997,2.956999999999965,wifi scan,0.5615461279999934
257.10699999999997,264.177,7.07000000000005,wifi running,0.015257060000000107
264.177,267.034,2.856999999999971,wifi scan,0.5425557279999944
267.034,274.202,7.168000000000006,wifi running,0.015468544000000013
274.202,277.064,2.862000000000023,wifi scan,0.5435052480000043
277.064,284.228,7.163999999999987,wifi running,0.015459911999999972
284.228,287.097,2.8689999999999714,wifi scan,0.5448345759999945
287.097,294.254,7.157000000000039,wifi running,0.015444806000000083
294.254,297.15,2.895999999999958,wifi scan,0.5499619839999921
297.15,304.27,7.1200000000000045,wifi running,0.015364960000000007
304.27,306.303,2.0330000000000155,wifi scan,0.3860748320000029
306.303,309.692,3.38900000000001,wifi running,0.0073134620000000206
306.196,309.692,3.495999999999981,gps,0.5582832319999969
306.196,306.303,0.1069999999999709,gps,0.01708704399999535
308.63,309.692,1.0620000000000118,gps,0.16959290400000185

