Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.702,309.702,screen bright,231.24457293599997
0,60.278,60.278,wifi running,0.13007992399999999
60.278,61.522,1.2439999999999998,wifi scan,0.23624057599999995
61.522,309.702,248.18,wifi running,0.5355724399999999
306.279,309.702,3.423000000000002,gps,0.5466257160000002
1.295,309.702,308.407,audio,53.243384479999996
1.295,302.062,300.767,audio,51.92441487999999
307.902,309.702,1.8000000000000114,audio,0.3107520000000019

