Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.64,309.64,screen bright,231.19827951999994
0,4.072,4.072,wifi running,0.008787376
4.072,6.378,2.306,wifi scan,0.437918624
6.378,14.083,7.705,wifi running,0.01662739
14.083,15.43,1.3469999999999995,wifi scan,0.2558006879999999
15.43,24.123,8.693000000000001,wifi running,0.018759494
24.123,26.247,2.1239999999999988,wifi scan,0.4033560959999997
26.247,34.181,7.9339999999999975,wifi running,0.01712157199999999
34.181,36.567,2.386000000000003,wifi scan,0.4531109440000005
36.567,44.248,7.680999999999997,wifi running,0.016575597999999993
44.248,46.522,2.274000000000001,wifi scan,0.43184169600000016
46.522,54.437,7.914999999999999,wifi running,0.017080569999999996
54.437,56.384,1.9470000000000027,wifi scan,0.3697430880000005
56.384,64.486,8.102000000000004,wifi running,0.017484116000000008
64.486,66.577,2.090999999999994,wifi scan,0.39708926399999883
66.577,74.545,7.9680000000000035,wifi running,0.017194944000000007
74.545,76.711,2.165999999999997,wifi scan,0.4113320639999994
76.711,84.553,7.841999999999999,wifi running,0.016923035999999995
84.553,86.769,2.216000000000008,wifi scan,0.42082726400000153
86.769,94.583,7.813999999999993,wifi running,0.01686261199999998
94.583,96.76400000000001,2.1810000000000116,wifi scan,0.41418062400000216
96.76400000000001,104.607,7.842999999999989,wifi running,0.016925193999999977
104.607,106.83500000000001,2.2280000000000086,wifi scan,0.42310611200000164
106.83500000000001,114.62899999999999,7.793999999999983,wifi running,0.01681945199999996
114.62899999999999,116.824,2.1950000000000074,wifi scan,0.41683928000000137
116.824,124.652,7.828000000000003,wifi running,0.016892824000000004
124.652,126.996,2.343999999999994,wifi scan,0.44513497599999885
126.996,134.677,7.680999999999997,wifi running,0.016575597999999993
134.677,136.915,2.2379999999999995,wifi scan,0.4250051519999999
136.915,144.737,7.822000000000003,wifi running,0.016879876000000005
144.737,146.965,2.2280000000000086,wifi scan,0.42310611200000164
146.965,154.78199999999998,7.816999999999979,wifi running,0.016869085999999953
154.78199999999998,156.911,2.129000000000019,wifi scan,0.4043056160000036
156.911,164.836,7.925000000000011,wifi running,0.017102150000000024
164.836,167.042,2.205999999999989,wifi scan,0.41892822399999785
167.042,174.876,7.834000000000003,wifi running,0.016905772000000006
174.876,176.88400000000001,2.0080000000000098,wifi scan,0.38132723200000185
176.88400000000001,184.923,8.038999999999987,wifi running,0.01734816199999997
184.923,186.996,2.0730000000000075,wifi scan,0.3936709920000014
186.996,194.981,7.984999999999985,wifi running,0.017231629999999967
194.981,197.042,2.061000000000007,wifi scan,0.39139214400000133
197.042,205.001,7.959000000000003,wifi running,0.017175522000000006
205.001,207.09,2.0889999999999986,wifi scan,0.39670945599999974
207.09,215.061,7.971000000000004,wifi running,0.017201418000000007
215.061,217.117,2.055999999999983,wifi scan,0.3904426239999968
217.117,225.11,7.993000000000023,wifi running,0.01724889400000005
225.11,227.268,2.157999999999987,wifi scan,0.4098128319999975
227.268,235.151,7.88300000000001,wifi running,0.01701151400000002
235.151,237.121,1.9699999999999989,wifi scan,0.37411087999999976
237.121,245.204,8.082999999999998,wifi running,0.017443113999999996
245.204,247.319,2.1149999999999807,wifi scan,0.40164695999999633
247.319,255.248,7.929000000000002,wifi running,0.017110782
255.248,257.259,2.011000000000024,wifi scan,0.38189694400000457
257.259,265.296,8.036999999999978,wifi running,0.01734384599999995
265.296,267.301,2.0049999999999955,wifi scan,0.38075751999999913
267.301,275.338,8.037000000000035,wifi running,0.017343846000000072
275.338,277.426,2.0879999999999654,wifi scan,0.3965195519999934
277.426,285.387,7.961000000000013,wifi running,0.017179838000000027
285.387,287.475,2.0880000000000223,wifi scan,0.3965195520000042
287.475,295.433,7.95799999999997,wifi running,0.017173363999999934
295.433,297.396,1.9630000000000223,wifi scan,0.37278155200000423
297.396,305.484,8.087999999999965,wifi running,0.017453903999999923
305.484,307.418,1.934000000000026,wifi scan,0.3672743360000049
307.418,309.64,2.22199999999998,wifi running,0.004795075999999956
305.484,309.64,4.156000000000006,gps,0.6636799520000009
305.484,306.239,0.7549999999999955,gps,0.12056745999999925
308.558,309.64,1.0819999999999936,gps,0.17278674399999897

