Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,309.876,309.876,screen bright,231.37449316799996
0,27.228,27.228,wifi running,0.058758024
27.228,30.095,2.8669999999999973,wifi scan,0.5444547679999995
30.095,309.876,279.78099999999995,wifi running,0.6037673979999998
306.376,309.876,3.5,gps,0.5589219999999999
1.388,309.876,308.488,audio,53.25736832
1.388,302.248,300.86,audio,51.940470399999995
308.056,309.876,1.8199999999999932,audio,0.3142047999999988

